Player_ID,Player_Name,Date_of_Birth,Team_ID,Country,Batting_Style,Bowling_Style,Role,Player_Captain_ID
27,Yuvraj Singh,12/12/1981,6,India,Left-hand bat,Slow left-arm orthodox,Player,187
32,SR Watson,6/17/1981,2,Australia,Right-hand bat,Right-arm fast-medium,Captain,8
42,S Dhawan,12/5/1985,6,India,Left-hand bat,Right-arm offbreak,Player,187
73,A Nehra,4/29/1979,6,India,Right-hand bat,Left-arm medium-fast,Player,187
162,CH Gayle,9/21/1979,2,West Indies,Left-hand bat,Right-arm offbreak,Player,8
163,MC Henriques,2/1/1987,6,Australia,Right-hand bat,Right-arm fast-medium,Player,187
183,NV Ojha,7/20/1983,6,India,Right-hand bat,NULL,Keeper,187
187,DA Warner,10/27/1986,6,Australia,Left-hand bat,Legbreak,Captain,187
228,Bipul Sharma,9/28/1983,6,India,Left-hand bat,Slow left-arm orthodox,Player,187
236,Mandeep Singh,12/18/1991,2,India,Right-hand bat,Right-arm medium,Player,8
237,KM Jadhav,3/26/1985,2,India,Right-hand bat,Right-arm offbreak,Keeper,8
255,STR Binny,6/3/1984,2,India,Right-hand bat,Right-arm medium,Player,8
270,S Aravind,4/8/1984,2,India,Left-hand bat,Left-arm medium-fast,Player,8
299,B Kumar,2/5/1990,6,India,Right-hand bat,Right-arm medium,Player,187
369,Sachin Baby,12/18/1988,2,India,Left-hand bat,Right-arm offbreak,Player,8
382,YS Chahal,7/23/1990,2,India,Right-hand bat,Legbreak googly,Player,8
385,BCJ Cutting,1/30/1987,6,Australia,Right-hand bat,Right-arm fast-medium,Player,187
394,DJ Hooda,4/19/1995,6,India,Right-hand bat,Right-arm offbreak,Player,187
417,TM Head,12/29/1993,2,Australia,Left-hand bat,Right-arm offbreak,Player,8
470,A Choudhary,1/28/1990,2,India,Right-hand bat,Left-arm medium,Player,8
489,Rashid Khan,11/20/1998,6,Afghanistan,Right-hand bat,Legbreak googly,Player,187
495,TS Mills,8/12/1992,2,England,Right-hand bat,ÿLeft-arm fast,Player,8
17,PA Patel,3/9/1985,5,India,Left-hand bat,NULL,Keeper,57
20,MS Dhoni,7/7/1981,7,India,Right-hand bat,Right-arm medium,Keeper,306
57,RG Sharma,4/30/1987,5,India,Right-hand bat,Right-arm offbreak,Captain,57
85,AM Rahane,6/6/1988,7,India,Right-hand bat,Right-arm medium,Player,306
87,MK Tiwary,11/14/1985,7,India,Right-hand bat,Legbreak googly,Player,306
89,R Bhatia,10/22/1979,7,India,Right-hand bat,Right-arm medium-fast,Player,306
